Iteration,Kp,Kd,Reward
0,4,0.5,0.3764515491587308
1,4.046363636363636,0.5,0.37469396253463166
2,4.046363636363636,0.45,0.3280436839157367
3,4.046363636363636,0.56,0.3652142490911923
4,4.046363636363636,0.62,0.3356585063882936
5,4.046363636363636,0.68,0.2382236578611211
6,4.046363636363636,0.32,0.5407282229678679
7,4.046363636363636,0.05,0.2387725960387118
8,3.9454545454545453,0.36000000000000004,0.6012269445785596
9,3.743636363636363,0.15000000000000002,0.42749724630409347
10,3.6427272727272726,0.42000000000000004,0.39755408568714296
11,3.5418181818181815,0.24000000000000002,0.4339528890251993
12,3.4409090909090905,0.23,0.4736775999044801
13,3.34,0.33,0.5023252146128929
14,3.239090909090909,0.15000000000000002,0.4407479671386468
15,3.1381818181818177,0.37,0.38627245819747574
16,3.037272727272727,0.16,0.4562208640125263
17,2.936363636363636,0.04,0.25722223247758147
18,4.248181818181818,0.26,0.42087195502036734
19,4.349090909090909,0.46,0.4314392000137068
20,4.449999999999999,0.25,0.4096648032566276
21,4.550909090909091,0.49,0.4260086241407494
22,4.651818181818181,0.27,0.4012721446143376
23,4.752727272727272,0.51,0.4297608136196766
24,4.8536363636363635,0.3,0.47755326934232184
25,5.055454545454545,0.46,0.4884716476752914
26,5.257272727272727,0.36000000000000004,0.41433103655930487
27,5.156363636363636,0.6,0.5591664822951368
28,5.3581818181818175,0.75,0.5640669421054965
29,5.56,0.93,0.4638860846685117
30,5.56,0.6,0.4665299666302922
31,5.257272727272727,0.97,0.4537150218408657
32,5.761818181818182,0.8400000000000001,0.33899063357589576
33,5.055454545454545,0.99,0.2914445537407769
34,3.037272727272727,0.43,0.34490431514347825
35,5.56,0.41000000000000003,0.2827935040786392
36,5.761818181818182,1.0,0.4660068767551411
37,5.055454545454545,0.18000000000000002,0.3346445710308061
38,3.34,0.5700000000000001,0.37619973433605813
39,2.936363636363636,0.43,0.44270923858894856
40,2.835454545454545,0.49,0.5208794894501925
41,2.6336363636363633,0.61,0.4755985491984861
42,2.4318181818181817,0.51,0.36484050160259196
43,2.4318181818181817,0.73,0.32950268179118675
44,2.4318181818181817,0.39,0.28395389272205596
45,2.6336363636363633,0.81,0.3382471455009473
46,2.3309090909090906,0.74,0.15408369594228252
47,2.936363636363636,0.79,0.2057645925601894
48,5.862727272727272,1.0,0.3020425791056728
49,2.6336363636363633,0.16,0.32654092278166585
50,5.761818181818182,0.65,0.4286159605388389
