Iteration,Reward
0,0.3764515491587308
1,0.37469396253463166
2,0.3280436839157367
3,0.3652142490911923
4,0.3356585063882936
5,0.2382236578611211
6,0.5407282229678679
7,0.2387725960387118
8,0.6012269445785596
9,0.42749724630409347
10,0.39755408568714296
11,0.4339528890251993
12,0.4736775999044801
13,0.5023252146128929
14,0.4407479671386468
15,0.38627245819747574
16,0.4562208640125263
17,0.25722223247758147
18,0.42087195502036734
19,0.4314392000137068
20,0.4096648032566276
21,0.4260086241407494
22,0.4012721446143376
23,0.4297608136196766
24,0.47755326934232184
25,0.4884716476752914
26,0.41433103655930487
27,0.5591664822951368
28,0.5640669421054965
29,0.4638860846685117
30,0.4665299666302922
31,0.4537150218408657
32,0.33899063357589576
33,0.2914445537407769
34,0.34490431514347825
35,0.2827935040786392
36,0.4660068767551411
37,0.3346445710308061
38,0.37619973433605813
39,0.44270923858894856
40,0.5208794894501925
41,0.4755985491984861
42,0.36484050160259196
43,0.32950268179118675
44,0.28395389272205596
45,0.3382471455009473
46,0.15408369594228252
47,0.2057645925601894
48,0.3020425791056728
49,0.32654092278166585
50,0.4286159605388389
